ITV4+1,1:0:1:2759:7FC:2:11A0000:0:0:0:
ITVBe,1:0:1:275B:7FC:2:11A0000:0:0:0:
ITV,1:0:1:2760:7FC:2:11A0000:0:0:0:
ITV,1:0:1:276A:7FC:2:11A0000:0:0:0:
ITV+1,1:0:1:276B:7FC:2:11A0000:0:0:0:
ITV,1:0:1:2774:7FC:2:11A0000:0:0:0:
ITV+1,1:0:1:2775:7FC:2:11A0000:0:0:0:
ITV Border,1:0:1:2788:805:2:11A0000:0:0:0:
ITV+1,1:0:1:278D:805:2:11A0000:0:0:0:
ITV,1:0:1:2792:805:2:11A0000:0:0:0:
ITVBe+1,1:0:1:279B:805:2:11A0000:0:0:0:
ITV,1:0:1:279C:805:2:11A0000:0:0:0:
ITV+1,1:0:1:27A1:805:2:11A0000:0:0:0:
ITV,1:0:1:27A6:805:2:11A0000:0:0:0:
ITV+1,1:0:1:27AB:805:2:11A0000:0:0:0:
ITV,1:0:1:27B0:805:2:11A0000:0:0:0:
ITV2+1,1:0:1:27B5:805:2:11A0000:0:0:0:
ITV,1:0:1:27D8:806:2:11A0000:0:0:0:
STV,1:0:1:27E2:806:2:11A0000:0:0:0:
STV,1:0:1:27EC:806:2:11A0000:0:0:0:
STV,1:0:1:27ED:806:2:11A0000:0:0:0:
STV,1:0:1:27F1:806:2:11A0000:0:0:0:
UTV,1:0:1:27F6:806:2:11A0000:0:0:0:
UTV+1,1:0:1:27F7:806:2:11A0000:0:0:0:
ITV,1:0:1:2800:806:2:11A0000:0:0:0:
ITV+1,1:0:1:280F:806:2:11A0000:0:0:0:
ITV3,1:0:1:2814:806:2:11A0000:0:0:0:
ITV3+1,1:0:1:2815:806:2:11A0000:0:0:0:
BBC One W Mid,1:0:1:283D:7FE:2:11A0000:0:0:0:
BBC One Yk&Li,1:0:1:283F:7FE:2:11A0000:0:0:0:
BBC One E Mid,1:0:1:2841:7FE:2:11A0000:0:0:0:
BBC One East E,1:0:1:2842:7FE:2:11A0000:0:0:0:
BBC Parliament,1:0:1:2843:7FE:2:11A0000:0:0:0:
BBC One Wales,1:0:1:2847:7FE:2:11A0000:0:0:0:
BBC Two Wales,1:0:1:2848:7FE:2:11A0000:0:0:0:
CBBC,1:0:1:2870:800:2:11A0000:0:0:0:
BBC One South,1:0:1:2871:800:2:11A0000:0:0:0:
BBC One S West,1:0:1:2872:800:2:11A0000:0:0:0:
BBC One Oxford,1:0:1:2874:800:2:11A0000:0:0:0:
BBC NEWS,1:0:1:2876:800:2:11A0000:0:0:0:
BBC One NI,1:0:1:2879:800:2:11A0000:0:0:0:
BBC Two NI,1:0:1:287A:800:2:11A0000:0:0:0:
ITV,1:0:1:2F45:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F49:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F4E:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F58:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F62:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F71:80B:2:11A0000:0:0:0:
ITV Wales,1:0:1:2F76:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F7B:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F85:80B:2:11A0000:0:0:0:
ITV,1:0:1:2F8A:80B:2:11A0000:0:0:0:
ITV+1,1:0:1:2F8F:80B:2:11A0000:0:0:0:
4seven,1:0:1:5302:814:2:11A0000:0:0:0:
QVC Extra,1:0:1:571D:82B:2:11A0000:0:0:0:
QVC Style,1:0:1:571E:82B:2:11A0000:0:0:0:
QVC Beauty,1:0:1:571F:82B:2:11A0000:0:0:0:
QVC,1:0:1:5720:82B:2:11A0000:0:0:0:
TalkingPictures,1:0:1:584E:82E:2:11A0000:0:0:0:
DMAX+1,1:0:1:B59:7F3:2:11A0000:0:0:0:
Food Network,1:0:1:B5E:7F3:2:11A0000:0:0:0:
Food Netwrk+1,1:0:1:B60:7F3:2:11A0000:0:0:0:
DMAX,1:0:1:B64:7F3:2:11A0000:0:0:0:
JewelleryMaker,1:0:1:C486:811:2:11A0000:0:0:0:
CNN,1:0:1:C48C:811:2:11A0000:0:0:0:
Spotlight TV,1:0:1:C49B:811:2:11A0000:0:0:0:
BLAZE,1:0:1:C4AE:811:2:11A0000:0:0:0:
Inspiration TV,1:0:1:C4D6:811:2:11A0000:0:0:0:
Al Jazeera Eng,1:0:1:C4DB:811:2:11A0000:0:0:0:
Gems TV,1:0:1:C4EB:813:2:11A0000:0:0:0:
TRT World,1:0:1:C6C1:82A:2:11A0000:0:0:0:
CNBC,1:0:1:C6C2:82A:2:11A0000:0:0:0:
CGTN,1:0:1:C6C9:82A:2:11A0000:0:0:0:
CBS Drama,1:0:1:C6D7:840:2:11A0000:0:0:0:
Smithsonian,1:0:1:CB9E:83C:2:11A0000:0:0:0:
revelation,1:0:1:CB9F:83C:2:11A0000:0:0:0:
HGTV,1:0:1:CFE5:83F:2:11A0000:0:0:0:
Really,1:0:1:CFE9:83F:2:11A0000:0:0:0:
PBS America,1:0:1:D016:83F:2:11A0000:0:0:0:
Sony Action,1:0:1:D03E:83E:2:11A0000:0:0:0:
Sony Movies,1:0:1:D043:83E:2:11A0000:0:0:0:
Sony Classic,1:0:1:D048:83E:2:11A0000:0:0:0:
Sony Classic+1,1:0:1:D04D:83E:2:11A0000:0:0:0:
Tiny Pop,1:0:1:D052:83E:2:11A0000:0:0:0:
POP,1:0:1:D05C:83E:2:11A0000:0:0:0:
POP Max,1:0:1:D066:83E:2:11A0000:0:0:0:
Sony Channel,1:0:1:D07F:83E:2:11A0000:0:0:0:
Sony Channel+1,1:0:1:D084:83E:2:11A0000:0:0:0:
TJC,1:0:1:D110:832:2:11A0000:0:0:0:
SonLife,1:0:1:D138:832:2:11A0000:0:0:0:
GOD Channel,1:0:1:D361:830:2:11A0000:0:0:0:
RT,1:0:1:D363:830:2:11A0000:0:0:0:
YANGA!,1:0:1:D741:82F:2:11A0000:0:0:0:
Live 360,1:0:1:D78C:82F:2:11A0000:0:0:0:
horror channel,1:0:1:D7A2:840:2:11A0000:0:0:0:
CBS Justice,1:0:1:D7A9:840:2:11A0000:0:0:0:
CBS Reality,1:0:1:D7AE:840:2:11A0000:0:0:0:
CBS Reality+1,1:0:1:D7B1:840:2:11A0000:0:0:0:
horror ch+1,1:0:1:D7B2:840:2:11A0000:0:0:0:
S4C,1:0:1:D7FF:840:2:11A0000:0:0:0:
